id;name;used
1344030;Bus 270 Linz - Vorderweißenbach;
1350551;Bus 4068: Kufstein => Wörgl;
1350990;Bus 533: Gmunden - Scharnstein - Grünau;
1358615;Bus 277: Rohrbach => Helfenberg => Bad Leonfelden => Freistadt;
1358635;Bus 277: Freistadt => Bad Leonfelden => Helfenberg => Rohrbach-Berg;
1387795;Bus 671: Graz Österreichische Gesundheitskasse => Thalerhof Airbase One;
1387803;Bus 671: Thalerhof Airbase One => Graz Österreichische Gesundheitskasse;
1387808;Bus 671: Graz Österreichische Gesundheitskasse C => Thalerhof Airbase One (via Kirchner-Kaserne);
1400343;Bus 520: Gmunden - Schwanenstadt;
1401446;Bus 527: Laakirchen - Vorchdorf;
1413967;Bus 43A: Neuwaldegg => Cobenzl Parkplatz;
1440005;Bus 750: Lech am Arlberg => Langen am Arlberg;
1440006;Bus 750: Langen am Arlberg => Lech am Arlberg;
1443292;Bus 500: Sankt Stefan im Rosental Murecker Straße => Graz Griesplatz;
1443294;Bus 500: Graz Griesplatz => Sankt Stefan im Rosental Murecker Straße;
1451034;Bus ZF: Rundkurs Zentralfriedhof;
1460350;Bus 69A: Simmering => Hauptbahnhof;
1460410;Bus 69A: Hauptbahnhof => Simmering;
1465418;Stadtbus Wels 1: Straubingersiedlung - Kaiser-Josef-Platz - Noitzmühle;
1467573;Bus 110: Reutte Alpentherme => Lech Schloßkopf;
1519153;Bus 421: Graz Lustbühel => Hönigtal Gasthaus Großschedl;
1519154;Bus 421: Hönigtal Gasthaus Großschedl => Graz Lustbühel;
1528498;Bus 120: Graz Hauptbahnhof => Stiwoll Riemer;
1541911;Bus 2: Göss - Leoben Zentrum;
1546586;Bus 610: Sankt Peter am Ottersbach Ortsmitte => Leibnitz Kulturzentrum;
1546587;Bus 610: Kaindorf HTL => Sankt Georgen an der Stiefing Ort;
1546602;Bus 609: Kaindorf -> Glojach;
1546628;Bus 615;
1546629;Bus 615;
1559877;Bus 703: Lech am Arlberg => Zürs;
1559991;Bus 427: Brederis Hirschmann Automotive => Feldkirch Busplatz;
1559992;Bus 427: Feldkirch Katzenturm => Brederis Hirschmann Automotive;
1582845;Bus 742: Lannach Bahnhofstraße => Lieboch Ort;
1582846;Bus 742: Lieboch Bahnhof => Lannach Bahnhofstraße (via Dobl Schulzentrum);
1597273;Bus 614: Kaindorf => Leibnitz;
1597274;Bus 614: Tillmitsch => Leibnitz;
1597275;Bus 616: Leibnitz => Leibnitz;
1597305;Bus 616: Leibnitz => Leibnitz;
1605475;Bus 613: Leibnitz => Leibnitz;
1605496;Bus 613: Leibnitz => Leibnitz;
1605518;Bus 613: Leibnitz => Leibnitz;
1647706;Bus 175: Bruck an der Mur Koloman-Wallisch-Platz => Tragöß-Oberort Grüner See;
1647760;Bus 2: Gassing Euromarkt => Bruck an der Mur Murinsel;
1647761;Bus 3: Bruck an der Mur Koloman-Wallisch-Platz => Gassing Euromarkt;
1649428;Bus 3: Kufstein Feldgasse => Kufstein Feldgasse;
1649734;Bus 614: Leibnitz => Leibnitz;
1653170;Bus 363: Gleisdorf Busbahnhof => Großpesendorf Busbahnhof;
1653171;Bus 363: Großpesendorf Busbahnhof => Gleisdorf Schulzentrum;
1653192;Bus 202: Gleisdorf Busbahnhof => Weiz Zentrum;
1655492;Bus 553: Orth/Donau Gemeindeamt => Großenzersdorf Busbahnhof;
1656151;Bus 1: Kufstein Endach => Ebbs Kaisertal;
1658359;Bus 1: Knittelfeld -> Judenburg;
1658360;Bus 3: Knittelfeld -> Fohnsdorf;
1658379;Bus 2: Fohnsdorf -> Judenburg;
1658413;Bus 840: Leoben - Knittelfeld;
1658723;Bus X81: Graz Andreas-Hofer-Platz => Hafning in Trofaiach Schwabergweg;
1658724;Bus X81: Hafning in Trofaiach Schwabergweg => Graz Andreas-Hofer-Platz;
1658816;Bus 845: Knittelfeld Busbahnhof => Glein Ort;
1658817;Bus 845: Glein Ort => Knittelfeld Busbahnhof C2;
1659159;Bus 1: Donawitz - Leoben Zentrum;
1659160;Bus 1: Leoben Zentrum - Donawitz;
1665623;Bus 483: Fürstenfeld Bahnhof <=> Bad Blumau Bahnhof (via Lindegg Ort);
1668615;Bus 12A: Schmelz, Gablenzgasse => Eichenstraße;
1674964;Bus 511: Graz Jakominiplatz => Nestelbach bei Graz Gemeindezentrum;
1675428;Bus 13A: Hauptbahnhof => Alser Straße, Skodagasse;
